item,ABC_group,XYZ_group
sku14061,A,Z
sku29862,A,X
sku29234,A,Y
sku7351,A,Z
sku15020,A,Z
sku12339,A,X
sku12050,A,Z
sku9233,A,X
sku3468,A,Z
sku20573,A,Z
sku23466,A,Y
sku1472,A,X
sku8962,A,Z
sku15164,A,X
sku22092,A,Z
sku9390,A,X
sku14652,A,Z
sku25573,A,Z
sku2729,A,Z
sku25130,A,Z
sku25150,A,Z
sku17031,A,Z
sku25356,A,X
sku3455,A,Z
sku22260,A,Y
sku2310,A,X
sku26585,A,X
sku25371,A,X
sku26165,A,Z
sku29980,A,Z
sku6509,A,Z
sku14129,A,Z
sku28639,A,Z
sku20859,A,Z
sku5475,A,Z
sku3291,A,Z
sku5496,A,Z
sku14379,A,X
sku13320,A,X
sku2291,A,X
sku28479,A,Z
sku2322,A,Z
sku2900,A,Z
sku5631,A,Z
sku6659,A,Z
sku25623,A,X
sku30149,A,Y
sku4669,A,X
sku25811,A,Z
sku3697,A,Z
sku15224,A,X
sku27183,A,Z
sku28736,A,X
sku19679,A,X
sku22363,A,Z
sku16015,A,Y
sku10504,A,Z
sku5361,A,Z
sku10519,A,X
sku19917,A,Z
sku16956,A,Z
sku28018,A,Z
sku28685,A,X
sku3847,A,X
sku4335,A,Z
sku17901,A,Z
sku14405,A,X
sku1023,A,Z
sku19443,A,X
sku29689,A,X
sku17720,A,Z
sku18245,A,Z
sku23048,A,Z
sku17983,A,X
sku13210,A,Z
sku18099,A,Z
sku25603,A,Z
sku15932,A,X
sku28427,A,Z
sku3611,A,Y
sku17140,A,Z
sku20793,A,X
sku20413,A,Z
sku12622,A,Z
sku16034,A,Z
sku3335,A,Z
sku5105,A,X
sku21653,A,Z
sku12215,A,X
sku18721,A,X
sku26946,A,Z
sku13552,A,Z
sku25276,A,Y
sku112,A,Y
sku17811,A,Z
sku17014,A,Z
sku628,A,X
sku1797,A,Z
sku4809,A,Z
sku17711,A,Z
sku16414,A,X
sku15053,A,Z
sku16150,A,Z
sku25490,A,Z
sku23235,A,Y
sku5648,A,Z
sku11382,A,Z
sku16248,A,X
sku1489,A,X
sku14726,A,Z
sku26646,A,Z
sku28465,A,Z
sku12790,A,X
sku30412,A,Z
sku20728,A,Z
sku1653,A,X
sku16602,A,X
sku3706,A,X
sku9358,A,Z
sku26047,A,Z
sku4433,A,Z
sku9108,A,Z
sku12360,A,Z
sku89,A,X
sku14868,A,Z
sku3547,A,Y
sku28378,A,Z
sku2681,A,Z
sku18401,A,Z
sku10442,A,X
sku6512,A,Z
sku29443,A,Z
sku14955,A,Z
sku9841,A,Z
sku16779,A,Z
sku22280,A,Z
sku13992,A,X
sku10789,A,Z
sku12963,A,Z
sku15905,A,Z
sku12116,A,Z
sku10083,A,Z
sku8652,A,Z
sku27173,A,Z
sku9604,A,Z
sku15983,A,X
sku17223,A,X
sku2055,A,Z
sku1280,A,Z
sku19753,A,Z
sku26436,A,Z
sku25742,A,X
sku24976,A,Y
sku22571,A,X
sku19553,A,Z
sku12708,A,Y
sku7552,A,X
sku29634,A,Z
sku7918,A,X
sku3448,A,Y
sku8533,A,X
sku25899,A,Z
sku1343,A,Y
sku27070,A,Z
sku335,A,Z
sku2558,A,Z
sku2170,A,X
sku15561,A,X
sku19916,A,Z
sku5183,A,Z
sku17323,A,Z
sku16118,A,Z
sku25035,A,Z
sku5218,A,Z
sku17588,A,Z
sku362,A,Z
sku25341,A,X
sku22797,A,Z
sku13086,A,Z
sku3212,A,X
sku21808,A,X
sku27215,A,Z
sku1440,A,Z
sku10982,A,Z
sku9448,A,X
sku9767,A,X
sku14765,A,Y
sku13181,A,Z
sku2712,A,Z
sku13251,A,Z
sku13323,A,X
sku28626,A,Y
sku7033,A,X
sku12197,A,Z
sku24475,A,Z
sku27250,A,Z
sku1824,A,Z
sku3210,A,Z
sku28476,A,Z
sku19247,A,Y
sku13821,A,Z
sku23266,A,X
sku113,A,Z
sku7551,A,X
sku19659,A,Z
sku13003,A,Z
sku28579,A,Z
sku4445,A,X
sku25336,A,X
sku24938,A,Z
sku3289,A,Y
sku20431,A,Z
sku19997,A,Z
sku30045,A,X
sku27572,A,Z
sku1815,A,Z
sku29120,A,X
sku4885,A,Z
sku27301,A,Z
sku25534,A,Z
sku10704,A,Z
sku14813,A,X
sku11395,A,Z
sku26407,A,Y
sku16857,A,Z
sku23393,A,Z
sku4237,A,Z
sku11847,A,X
sku23721,A,X
sku26437,A,Z
sku24607,A,Z
sku20971,A,Z
sku12131,A,X
sku21001,A,Z
sku25162,A,Z
sku5915,A,Y
sku4995,A,X
sku22216,A,Z
sku23543,A,X
sku20255,A,Z
sku21211,A,Z
sku3721,A,X
sku6894,A,X
sku1722,A,Y
sku6084,A,Z
sku15378,A,Z
sku6569,A,Z
sku1662,A,X
sku12247,A,Y
sku10307,A,Z
sku1477,A,Z
sku15816,A,Z
sku8541,A,Z
sku23943,A,Z
sku15679,A,Y
sku23879,A,X
sku24733,A,Z
sku26146,A,X
sku15073,A,X
sku7679,A,X
sku26023,A,X
sku13734,A,X
sku8785,A,Y
sku15819,A,Z
sku29692,A,Z
sku28917,A,Z
sku11180,A,Z
sku11281,A,Z
sku10132,A,Y
sku8880,A,Z
sku24388,A,Z
sku29870,A,Z
sku24104,A,Z
sku11482,A,X
sku29271,A,Z
sku11700,A,Z
sku25044,A,X
sku13524,A,Z
sku7206,A,Y
sku26495,A,Y
sku15495,A,Z
sku30206,A,Z
sku17230,A,Y
sku3359,A,X
sku29734,A,Z
sku28950,A,Z
sku26361,A,Z
sku1727,A,Z
sku2987,A,X
sku27043,A,Z
sku5416,A,Z
sku6447,A,Y
sku3894,A,Z
sku3685,A,Z
sku20471,A,Z
sku8067,A,X
sku29512,A,X
sku19719,A,Z
sku8443,A,Z
sku9054,A,Z
sku15899,A,Z
sku9907,A,X
sku22285,A,Z
sku1174,A,Y
sku24802,A,Z
sku29974,A,Z
sku16599,A,X
sku13558,A,X
sku3562,A,X
sku23463,A,X
sku6544,A,X
sku14550,A,Z
sku5517,A,Z
sku9851,A,Z
sku27891,A,Z
sku1191,A,Z
sku24606,A,X
sku25600,A,Z
sku6506,A,Z
sku2725,A,X
sku21881,A,X
sku23323,A,Z
sku11139,A,Z
sku6418,A,Z
sku30002,A,X
sku16571,A,Z
sku17256,A,Z
sku4186,A,Z
sku29878,A,Z
sku29505,A,Z
sku22613,A,Z
sku29635,A,Z
sku27081,A,Z
sku14473,A,Z
sku691,A,Z
sku7513,A,X
sku11925,A,Z
sku27947,A,Z
sku18848,A,X
sku12185,A,Z
sku28003,A,X
sku19150,A,Z
sku8204,A,Z
sku3796,A,Z
sku11576,A,Z
sku14253,A,Z
sku16046,A,Z
sku30167,A,X
sku25236,A,X
sku7214,A,Z
sku7769,A,Z
sku23757,A,X
sku292,A,X
sku15077,A,X
sku15989,A,Z
sku28133,A,X
sku20179,A,Z
sku21099,A,X
sku19632,A,X
sku19908,A,Z
sku7313,A,Z
sku2082,A,Z
sku15765,A,X
sku20315,A,Z
sku11612,A,Z
sku27477,A,Z
sku25118,A,Z
sku7099,A,Y
sku29236,A,Z
sku18254,A,Y
sku9400,A,Z
sku30011,A,Z
sku2920,A,X
sku9998,A,Z
sku15012,A,Z
sku28819,A,Z
sku25139,A,Z
sku3027,A,Z
sku16301,A,Z
sku25671,A,Z
sku10128,A,Z
sku24889,A,Z
sku2746,A,Z
sku6850,A,X
sku6196,A,X
sku17060,A,X
sku9287,A,Z
sku21481,A,X
sku24242,A,Z
sku14237,A,Z
sku3945,A,Z
sku27374,A,Y
sku26658,A,X
sku25628,A,Z
sku25511,A,Z
sku27261,A,X
sku6261,A,Z
sku24368,A,Z
sku29083,A,Z
sku30416,A,Z
sku9504,A,Z
sku12354,A,X
sku10709,A,X
sku5129,A,X
sku6593,A,Z
sku346,A,Z
sku786,A,X
sku9881,A,Z
sku22330,A,X
sku433,A,Z
sku5486,A,Z
sku16910,A,X
sku27765,A,Z
sku29553,A,Z
sku2821,A,Z
sku24661,A,Y
sku11433,A,X
sku3361,A,Z
sku11049,A,Z
sku1373,A,Z
sku2580,A,X
sku21843,A,Z
sku1894,A,X
sku2635,A,Y
sku29393,A,Z
sku12431,A,Y
sku2894,A,Z
sku1583,A,Y
sku2908,A,X
sku11781,A,Z
sku16578,A,X
sku19585,A,X
sku5775,A,X
sku24451,A,Z
sku16745,A,Z
sku24777,A,Z
sku2019,A,Y
sku18350,A,Z
sku7969,A,Z
sku12545,A,Z
sku22246,A,Z
sku7500,A,Z
sku4789,A,X
sku21134,A,Z
sku11858,A,Z
sku3128,A,Z
sku26131,A,X
sku28478,A,Z
sku27054,A,X
sku29746,A,X
sku5171,A,Z
sku24779,A,Z
sku29438,A,X
sku3080,A,Z
sku3941,A,Z
sku14468,A,X
sku28068,A,Y
sku21879,A,Y
sku14413,A,Z
sku9804,A,Z
sku3762,A,Z
sku323,A,X
sku20868,A,Z
sku5047,A,X
sku10707,A,Z
sku25303,A,Z
sku29685,A,X
sku18792,A,Y
sku10312,A,Z
sku457,A,Z
sku17662,A,X
sku12987,A,X
