total_quantity,total_amount,unique_visits
291,105523,22
411,105518,29
172,105452,29
387,105374,43
605,105321,51
197,105272,19
321,105226,15
472,105187,70
293,105091,26
240,105046,8
230,105026,18
167,104956,15
232,104916,28
501,104765,52
588,104757,38
374,104708,45
329,104591,45
588,104536,49
497,104478,7
115,104464,24
115,104345,21
792,104329,39
429,104281,41
249,104279,10
424,104271,44
203,104066,15
267,103989,16
435,103968,57
327,103965,38
223,103964,20
446,103888,28
146,103871,13
225,103773,30
287,103713,24
137,103441,17
157,103430,10
118,103307,15
139,103264,18
375,102966,60
391,102929,27
550,102819,46
462,102497,40
174,102483,15
111,102346,16
321,102125,32
510,102124,47
457,102021,28
641,101955,9
311,101929,13
245,101881,30
242,101617,21
388,101605,29
697,101498,71
484,101453,78
479,101453,23
434,101146,52
325,101127,62
134,100950,8
345,100892,57
283,100888,57
283,100837,26
194,100828,10
694,100644,23
400,100610,52
284,100469,39
190,100340,23
178,100334,7
197,100275,19
316,100219,16
104,100092,13
565,100030,44
206,99999,26
12,99988,1
521,99836,64
312,99776,24
745,99724,26
348,99680,29
594,99568,36
402,99542,37
298,99032,32
168,98994,14
321,98959,40
539,98937,57
171,98847,33
140,98803,23
223,98746,14
346,98723,31
257,98711,15
344,98616,39
293,98569,31
240,98521,13
278,98489,41
311,98475,8
342,98402,43
146,98379,12
172,98349,22
368,98321,46
111,98312,22
304,98179,24
261,98172,23
239,97994,38
330,97889,30
729,97643,46
42,97582,7
360,97415,45
98,97363,16
310,97326,19
192,97310,22
460,97264,71
227,97206,17
399,97177,80
334,97169,40
206,97122,23
367,96984,14
669,96920,25
577,96792,40
174,96704,10
214,96405,5
172,96372,23
96,96366,14
497,96359,58
453,96329,37
174,96258,38
205,96244,16
426,96235,54
558,96184,73
168,96150,24
273,96099,20
174,96055,6
192,95979,51
217,95971,25
447,95916,48
207,95910,29
268,95760,17
306,95493,19
238,95439,21
655,95397,63
203,95388,14
366,95331,39
394,95323,38
372,95292,42
206,95287,10
376,95205,27
245,95182,43
245,95157,33
338,95077,40
247,95071,25
297,95057,33
433,94829,58
407,94824,33
235,94773,39
452,94706,11
574,94623,25
173,94621,27
226,94581,6
128,94496,24
488,94396,91
218,94386,19
293,94366,24
261,94319,59
241,94205,11
157,94205,20
441,94199,18
196,94103,5
208,93988,29
139,93838,15
90,93836,14
478,93779,44
211,93775,23
324,93659,29
1771,93624,11
411,93532,14
286,93531,45
431,93523,50
542,93465,50
543,93418,50
472,93220,41
347,93021,27
236,92965,4
160,92951,22
256,92860,25
228,92840,13
448,92798,67
213,92660,27
604,92639,90
386,92529,41
209,92516,14
33,92496,5
248,92363,11
453,92280,35
420,92280,55
175,92246,13
247,92218,13
