item,total_amount,cumulative_percent,ABC_group
sku21288,323595,23.968603528281847,A
sku23717,323063,24.019996896604972,A
sku18023,322318,24.07127174916058,A
sku20430,322084,24.122509376629477,A
sku22394,321950,24.17372568716838,A
sku27774,321766,24.22491272669893,A
sku21164,321733,24.276094516537764,A
sku4947,320441,24.32707077299186,A
sku6093,320117,24.377995487018204,A
sku799,319772,24.428865317903885,A
sku14206,319158,24.47963747270735,A
sku4633,318943,24.53037542497388,A
sku6732,317964,24.580957636386184,A
sku7322,317859,24.631523144233938,A
sku29117,317416,24.682018178947455,A
sku10536,316318,24.732338542100255,A
sku27907,316078,24.782620725676942,A
sku12414,315973,24.832886205689082,A
sku13431,312554,24.88260778582319,A
sku13840,312360,24.93229850413328,A
sku878,312122,24.98195136103038,A
sku25726,311794,25.031552039173466,A
sku19926,311540,25.081112310598503,A
sku1628,311423,25.13065396948018,A
sku13899,311408,25.180193242138348,A
sku1010,311071,25.2296789043084,A
sku1906,310620,25.279092820691666,A
sku13119,309606,25.32834542836586,A
sku11109,309145,25.377524699437608,A
sku12939,308232,25.42655872903856,A
sku24823,306064,25.47524786980197,A
sku19611,305187,25.523797496030998,A
sku16859,304836,25.572291284629962,A
sku29738,302954,25.62048568171958,A
sku9350,302569,25.668618832405855,A
sku13879,300492,25.716421570677184,A
sku28584,299977,25.764142381941447,A
sku5452,299135,25.811729246526177,A
sku30317,298498,25.859214776152644,A
sku21790,297841,25.906595789189502,A
sku20495,296123,25.95370350009403,A
sku20928,295003,26.00063303964336,A
sku30565,294602,26.047498787484276,A
sku23892,294543,26.094355149512722,A
sku6849,293278,26.14101027335875,A
sku763,293240,26.187659352105225,A
sku22761,292426,26.234178938456054,A
sku15801,291256,26.280512399373336,A
sku15114,290859,26.326782704908457,A
sku27764,290499,26.372995741079418,A
sku15935,290183,26.419158507475167,A
sku4020,290073,26.465303774898523,A
sku4976,288296,26.511166354377092,A
sku24830,287993,26.55698073214081,A
sku2237,287129,26.602657663430527,A
sku23961,286394,26.6482176697684,A
sku4894,285498,26.69363513902212,A
sku27019,285482,26.73905006297077,A
sku20120,284779,26.784353152577715,A
sku14960,284703,26.829644151985573,A
sku21250,282384,26.874566241239233,A
sku22802,280736,26.91922616407026,A
sku18786,279486,26.96368723494237,A
sku27434,279354,27.00812730704762,A
sku6050,278863,27.052489270103404,A
sku8726,278666,27.096819894090462,A
sku22857,278399,27.141108043299095,A
sku1288,278182,27.185361671807662,A
sku9262,277391,27.229489466796625,A
sku24820,276923,27.273542811612167,A
sku15373,276575,27.31754079604235,A
sku21388,273848,27.36110496503895,A
sku11508,273789,27.404659748223096,A
sku29516,273187,27.448118764303832,A
sku16000,272667,27.49149505796965,A
sku11628,272506,27.53484573950316,A
sku2598,271990,27.57811433494803,A
sku24341,271551,27.62131309358493,A
sku6216,271172,27.664451560307885,A
sku21570,270304,27.707451944230566,A
sku24580,270024,27.75040778531445,A
sku16010,269202,27.79323286135015,A
sku22402,268760,27.835987623333175,A
sku24746,268131,27.87864232301047,A
sku14436,267882,27.921257411377553,A
sku12192,267456,27.963804730997037,A
sku1570,266280,28.00616497069357,A
sku11386,265849,28.04845664623467,A
sku15275,265129,28.09063378304743,A
sku24838,264087,28.13264515686724,A
sku10415,263067,28.17449426748857,A
sku17521,262589,28.216267337120808,A
sku21395,262203,28.257979001268136,A
sku3022,261267,28.299541765068625,A
sku8313,260786,28.341028010635323,A
sku15396,260318,28.382439806028597,A
sku22998,260184,28.42383028449188,A
sku26414,259925,28.465179560829277,A
sku18638,259865,28.506519292272642,A
sku5757,258861,28.547699305822604,A
sku3831,258225,28.588778143495873,A
sku29872,257860,28.62979891639713,A
sku26259,257135,28.670704355162226,A
sku14312,256444,28.71149986856442,A
sku11086,256115,28.75224304413104,A
sku15071,255418,28.792875339845352,A
sku14847,254490,28.833360007865373,A
sku24678,254314,28.87381667752958,A
sku16714,254313,28.914273188112215,A
sku25225,254073,28.954691519118736,A
sku2398,253727,28.99505480790304,A
sku25873,252684,29.035252174612808,A
sku9368,251502,29.075261506910234,A
sku17950,251499,29.115270361962953,A
sku4162,251265,29.15524199192896,A
sku3595,251183,29.195200577206464,A
sku22373,251165,29.235156299015763,A
sku21415,250627,29.275026434941942,A
sku28410,250406,29.314861413841786,A
sku22187,250043,29.35463864613276,A
sku16656,249127,29.394270159708235,A
sku10863,248513,29.433803997201498,A
sku9355,248416,29.47332240378274,A
sku4986,247319,29.512666297884838,A
sku960,247126,29.551979489244477,A
sku4523,246789,29.591239070116,A
sku9814,246301,29.63042101918275,A
sku6127,245556,29.669484452481992,A
sku22256,245514,29.708541204355416,A
sku9272,245334,29.747569321546752,A
sku9340,244873,29.78652410213564,A
sku21456,244485,29.825417159076483,A
sku10219,243862,29.864211108200994,A
sku1772,243722,29.90298278590611,A
sku9010,243684,29.941748418511676,A
sku25973,243554,29.980493370513518,A
sku27292,243202,30.019182325803722,A
sku1219,242492,30.057758333181265,A
sku9542,242066,30.09626657181121,A
sku2707,242023,30.134767969933762,A
sku21083,241730,30.17322275715715,A
sku13266,241259,30.211602616962413,A
sku18943,241203,30.249973568199916,A
sku20237,239790,30.28811973718306,A
sku8520,237898,30.325964923841187,A
sku26880,237726,30.363782748469763,A
sku21581,237596,30.401579892494617,A
sku26736,237382,30.439342993064102,A
sku18167,235931,30.476875266279674,A
sku18447,235796,30.514386063483684,A
sku29812,235600,30.551865680700534,A
sku12413,235588,30.589343388938584,A
sku14374,234873,30.626707353856126,A
sku7427,234398,30.663995755029283,A
sku8254,233807,30.701190138996264,A
sku6611,233698,30.738367183072423,A
sku6709,233510,30.77551431981396,A
sku9275,233468,30.812654775129687,A
sku6145,233136,30.849742415365117,A
sku18063,232215,30.886683541477222,A
sku15731,231770,30.923553876291948,A
sku18517,231651,30.96040528040018,A
sku28368,231284,30.997198301573288,A
sku18772,230320,31.03383796811567,A
sku30132,230314,31.070476680168646,A
sku21836,229518,31.106988763294186,A
sku2088,229154,31.143442940729287,A
sku10373,228995,31.17987182419522,A
sku20737,228813,31.216271754815928,A
sku29628,228628,31.252642255346718,A
sku24005,228461,31.2889861892558,A
sku29172,228277,31.325300852156523,A
sku23490,227952,31.36156381354793,A
sku5210,227536,31.397760597007412,A
sku27463,227417,31.433938449760408,A
sku13876,227384,31.470111052821682,A
sku28753,227036,31.506228295497596,A
sku12674,226960,31.542333447974404,A
sku11563,226903,31.578429532801888,A
sku26717,226628,31.614481870198407,A
sku2531,226516,31.650516390459416,A
sku17264,226033,31.68647407432349,A
sku11703,224736,31.722225429394996,A
sku807,224625,31.757959126412544,A
sku27650,223361,31.793491744329238,A
sku1984,223266,31.82900924949706,A
sku18938,222608,31.864422078993698,A
sku20067,222531,31.89982265920967,A
sku4735,222099,31.93515451618864,A
sku26682,221956,31.970463624503516,A
sku7027,221342,32.00567505673616,A
