item,mean,std,cv,XYZ_group
sku10095,1.0,0.0,0.0,X
sku10097,8.183673469387756,6.988410829623585,85.39454629714605,Z
sku10098,1.0,0.0,0.0,X
sku101,1.1764705882352942,0.3929526239966878,33.400973039718465,Z
sku1010,6.906040268456376,8.939241066008083,129.44090562052523,Z
sku10100,1.25,0.7071067811865476,56.568542494923804,Z
sku10101,1.5155916275096113,1.3908554991390851,91.76980618614989,Z
sku10102,2.3333333333333335,1.96638416050035,84.27360687858642,Z
sku10103,1.0625,0.2459346884189824,23.14679420413952,Y
sku10104,1.3692307692307693,0.6747506662008284,49.27954303713915,Z
sku10105,1.1111111111111112,0.3333333333333333,30.0,Z
sku10106,1.9555555555555555,1.9766311509916834,101.07772931207472,Z
sku10107,1.162162162162162,0.37368387661182234,32.15419403404053,Z
